"Service","EC2-Other($)","EC2-Instances($)","S3($)","Elastic Load Balancing($)","WAF($)","Kinesis Firehose($)","Elastic MapReduce($)","CloudWatch($)","Elastic Container Service for Kubernetes($)","Athena($)","VPC($)","EC2 Container Registry (ECR)($)","SES($)","Secrets Manager($)","Elastic File System($)","Route 53($)","DynamoDB($)","Backup($)","Key Management Service($)","CloudFront($)","Cost Explorer($)","Relational Database Service($)","Service Catalog($)","Glue($)","SNS($)","CloudWatch Events($)","SQS($)","Lambda($)","Glacier($)","Simple Workflow Service($)","Step Functions($)","ElastiCache($)","CloudTrail($)","QuickSight($)","Total costs($)"
"Service total","14398.8545565898","10821.195465855","3020.4363289094","1608.6613042752","1467.3096125592","393.3524388125","293.25413304","252.8504709268","204","199.299495","198.0711304938","65.5592341908","17.767778629","16.822614998","7.6688435209","5.3704462","3.7899956404","3.5674865551","3.096628356","0.8258896811","0.5","0.4404712733","0.0301","0.012024012","0.0056634528","0.004139","0.0031212346","0.0001715438","0.0000483649","0.0000106218","0.0000061664","0.0000050592","0","0","32982.7496149618"
"2024-04-01","879.2549471116","632.9988401357","160.6519532771","95.8206422113","77.301442872","20.7074533173","15.3833629104","15.0017227972","12","15.510035","12.1347574377","3.652986937","1.1575145574","0.96427","0.4553719373","1.192294","0.0390730036","0.2098361745","0.181708668","0.0207946586","0.06","0.0259100749","0","0.0001596672","0.0000284924","0.000284","0.000048069","0.0000073257","0.000002646","0.0000001405","0.0000000835","0.0000002976","0","0","1944.7254478035"
"2024-04-02","848.4528650089","656.4698789601","165.3647592545","96.4362016491","76.857045072","20.5873674395","16.4127445056","15.8751792835","12","10.39364","11.8865742027","3.6926916443","1.1658082827","0.96534","0.4553778158","0.4846124","0.2344326648","0.2098392929","0.181804668","0.0239433045","0.07","0.0259100749","0.007","0.0002216672","0.0000151686","0.000502","0.0000580828","0.0000148115","0.000002728","0.0000002248","0.0000001503","0.0000002976","0","0","1938.2538306546"
"2024-04-03","836.294679066","658.6891241075","188.7473005709","95.4381103941","77.4726645166","20.7482965659","17.534534904","15.0738772822","12","18.96678","11.7104067105","3.7611265066","1.0555457788","0.96514","0.4553823472","0.2463034","0.2344326648","0.2098409996","0.183244668","0.0188669052","0.07","0.0259100749","0.0035","0.0002206672","0.0000113266","0.000402","0.0000773104","0.0000156605","0.0000025847","0.0000001967","0.0000001169","0.0000002976","0","0","1959.9057976234"
"2024-04-04","845.6025769449","648.4940576365","188.2475229532","97.0688345303","86.3909357612","23.1528521249","15.4133590752","15.3830690162","12","15.002375","11.6652890226","3.8380124182","0.9819814752","0.928835","0.455397249","0.2492032","0.2344326648","0.2098453328","0.183220668","0.0249384862","0.02","0.0259100749","0.0014","0.0004906672","0.0001967673","0.00034","0.0001538208","0.0000154877","0.0000025198","0.0000004215","0.0000002505","0.0000002976","0","0","1965.5752488665"
"2024-04-05","846.331233896","646.7044603731","180.0713463989","94.0886510671","87.393481872","23.4339767266","16.3553617872","14.9319469407","12","9.96662","11.5800376091","3.8724813114","0.9497564326","0.971705","0.4553896025","0.2573192","0.2344326648","0.2098459561","0.182863668","0.01354755","0.02","0.0259100749","0.0014","0.0006736672","0.0003305504","0.0002","0.0002119038","0.0000153812","0.0000027924","0.0000005901","0.0000003497","0.0000002976","0","0","1950.0532036634"
"2024-04-06","854.3134138725","659.1660511218","168.0335527473","94.2520437001","90.035372472","24.14755517","19.327299948","14.8450630288","12","5.0233","11.2277904603","3.8785217708","0.9388722757","0.97308","0.4553904156","0.2471446","0.2344326648","0.2098465613","0.179659668","0.0116685539","0.02","0.0259100749","0.0014","0.0007736672","0.0003685183","0.000201","0.0002311313","","0.0000025613","0.0000006463","0.0000003841","0.0000002976","0","0","1959.5489473119"
"2024-04-07","846.0096145412","656.0047844478","162.083023503","93.5642879362","89.135647272","23.9049821853","16.2587247264","14.9691687919","12","5.090255","11.382905067","3.8785245353","0.9456734972","0.97309","0.4553955871","0.2305648","0.2344326648","0.2098509245","0.180421668","0.00866225","0.02","0.0259100749","0.0014","0.0007790008","0.0003753574","0.000048","0.0002307314","","0.0000026269","0.0000007306","0.0000003811","0.0000002976","0","0","1937.5687565984"
"2024-04-08","837.4557736957","661.9052001181","170.5993457155","92.3464381714","81.024573672","21.7133337212","18.4083818472","14.8954313829","12","11.71316","11.4567661757","3.8818937811","0.9764304193","0.974305","0.4554009594","0.2354678","0.2344326648","0.2098483801","0.182878668","0.0112701","0.02","0.0259100749","0.0014","0.0008080008","0.0004090454","0.000195","0.0002664053","0.0000081359","0.0000027427","0.0000005901","0.0000004135","0.0000002976","0","0","1940.7293329786"
"2024-04-09","836.9837990523","663.5206920788","176.1003255647","93.0120942389","83.780133072","22.4579058555","16.2388983744","14.9457510414","12","20.592345","11.4783808246","3.8881291296","1.0742546536","0.97491","0.4554075125","0.2350578","0.2344326648","0.2098493978","0.182896668","0.0131007","0.02","0.0259100749","0.0014","0.0007840008","0.000420291","0.00019","0.0002221798","0.0000153205","0.0000025942","0.0000007587","0.0000003988","0.0000002976","0","0","1958.4273095452"
"2024-04-10","840.8743362106","630.9047434595","180.3392356533","92.405310649","86.9125295612","23.2935772802","18.959069736","15.2857935302","12","22.04037","11.5286898819","3.8913492057","1.049953965","0.9906405555","0.4554188412","0.24618","0.2344326648","0.2098543753","0.180094668","0.2424186765","0.02","0.0259100749","0.0014","0.0007590008","0.0004397613","0.00054","0.00018","0.0000161511","0.0000028439","0.0000007025","0.0000003497","0.0000002976","0","0","1942.0932480957"
"2024-04-11","837.128092136","605.9668678189","172.471774444","92.8780313017","90.8544515612","24.3590341091","15.9679309392","14.2976040285","12","5.71485","11.4493659296","3.8912945383","0.9303130988","1.0019216664","0.4570570358","0.2373106","0.2344326648","0.2098556084","0.182803668","0.050309","0.02","0.0259100749","0.0014","0.0008000008","0.0004077251","0.000168","0.0001876","0.0000166123","0.0000028735","0.0000007025","0.0000004479","0.0000002976","0","0","1890.3321944833"
"2024-04-12","849.7569675864","610.7697103254","183.0197528582","96.5789579378","98.0709488058","26.3033047009","18.1628491248","14.7579606988","12","8.87777","11.6133690677","3.8947640744","0.9999456918","1.0035316664","0.4429596035","0.2569044","0.2344326648","0.2098556778","0.182806668","0.15170855","0.03","0.0259100749","0.0014","0.0008890008","0.000457245","0.000166","0.000216","0.0000150118","0.0000029966","0.0000008149","0.0000004636","0.0000002976","0","0","1937.3475580077"
"2024-04-13","837.4661267192","585.502248587","181.2058634192","95.168356185","99.239343672","26.6355488205","15.7119149664","14.2040141541","12","4.913815","11.5884175045","3.897511249","0.9541901501","0.9988066664","0.442959777","0.2497728","0.2344326648","0.2098557868","0.181231668","0.0536835359","0.02","0.0259100749","0.0014","0.0008530008","0.0004246699","0.00006","0.0002164","","0.0000030394","0.0000006744","0.0000005107","0.0000002976","0","0","1890.9069619936"
"2024-04-14","841.021684298","602.3253633706","180.4714589777","94.6632819019","97.623868872","26.19824502","15.7379167296","14.314968756","12","4.829135","11.6938841826","3.8975143845","0.9228619692","1.0024466664","0.4429632148","0.2533806","0.2344326648","0.209860115","0.181993668","0.0504894","0.02","0.0259100749","0.0014","0.0008640008","0.0004469064","0.000152","0.0002016","","0.0000032857","0.0000008711","0.0000004793","0.0000002976","0","0","1908.1247293069"
"2024-04-15","852.2886027363","631.1023216939","184.1225328564","95.5425103013","94.419187272","25.3322178652","17.1063685584","14.8796849834","12","10.91156","12.0700704923","3.905360839","1.2486450752","1.0300794445","0.4429766214","0.2465304","0.2344326648","0.2098654724","0.182941668","0.0474865047","0.02","0.0259100749","0.0014","0.0010300008","0.0004765869","0.000358","0.0002164","0.0000077004","0.0000032139","0.0000008711","0.000000495","0.0000002976","0","0","1957.3727790898"
"2024-04-16","849.5722287564","635.0578906286","188.700168581","92.3643615381","78.0128673166","20.8951067448","20.8027474992","14.6391864869","12","18.92973","11.8218191507","3.9121026073","1.3575529895","1.0497783332","0.4429794609","0.248555","0.2344326648","0.2098668742","0.183244668","0.0416008108","0.02","0.0259100749","0.0014","0.0009810008","0.0004517444","0.000175","0.0002088","0.0000080918","0.000003133","0.000000843","0.0000004135","0.0000002976","0","0","1950.52535951"
"2024-04-17","860.0476149578","635.6132309917","190.2064121345","97.0331905619","72.7851189166","19.4816811656","19.472667408","14.5500487241","12","10.823755","11.7826067743","3.9249692583","1.0584783169","1.0547349992","0.4430155399","0.2538452","0.2344326648","0.2098696256","0.182812668","0.0414006948","0.03","0.0259100749","0.0014","0.0009370008","0.0004032964","0.000158","0.0001948","0.0000158534","0.0000031829","0.000000843","0.0000004783","0.0000002976","0","0","1951.2589094293"