"Service","EC2-Instances($)","EC2-Other($)","S3($)","VPC($)","Bedrock($)","Elastic Load Balancing($)","Direct Connect($)","CloudWatch($)","Elastic Container Service for Kubernetes($)","EC2 Container Registry (ECR)($)","ElastiCache($)","Kinesis Firehose($)","Secrets Manager($)","Resilience Hub($)","Lambda($)","CloudWatch Events($)","SageMaker($)","Claude 3.5 Sonnet ( Bedrock Edition)($)","Claude 3.7 Sonnet ( Bedrock Edition)($)","WAF($)","Key Management Service($)","Cost Explorer($)","Service Catalog($)","Route 53($)","Claude 3 Sonnet ( Bedrock Edition)($)","SQS($)","Systems Manager($)","Step Functions($)","SNS($)","Glue($)","Elastic File System($)","Glacier($)","DynamoDB($)","Backup($)","Simple Workflow Service($)","CloudTrail($)","Elastic Container Registry Public($)","CloudFormation($)","Total costs($)"
"Service total","6649.6957942302","2896.8884071504","690.3463400394","620.6081680036","578.63466273","288.7398526717","244.822268073","147.982683523","121.569530667","39.1478574801","34.0325","21.9910079699","21.7647122267","15","13.3327126338","11.346598","7.2351999864","5.968464","4.202574","2.833333356","2.4240136848","1.91","1.9068","0.7","0.305958","0.1644703","0.16","0.0191530389","0.0040200017","0.001457","0.0002958408","0.0000325076","0.000031531","0.0000097903","7.801e-7","0","0","0","12423.7389092164"
"2025-04-01","433.6475783711","161.2708107573","40.0145141848","39.4721898406","79.757041486","19.4554529554","14.4005049432","9.4612027072","6.369530667","2.2483712588","1.99575","1.4920993144","1.2956133336","15","0.6278039032","0.738402","0.4255999992","0.045768","","0.166666668","0.1424773344","0.1","0","0.7","0.015771","0.0096748","0","0.0011400302","0.0001182193","0","0.0000174024","0.0000019518","0.0000018485","0.0000005759","0.0000000269","0","0","","828.8541035792"
"2025-04-02","450.508180825","208.2126141523","41.0868134334","36.6583171878","64.111773994","20.1354584904","14.4006437427","10.6361994489","7.2","2.2597747462","2.0015","1.5723594368","1.2420994447","","0.9820624209","0.771784","0.4255999992","0.00219","","0.166666668","0.1423363344","0.11","0.0098","","0.083688","0.009704","0.01","0.005130077","0.0001946254","0","0.0000174024","0.0000018222","0.0000018576","0.0000005759","0.0000000538","0","0","","862.744912739"
"2025-04-03","438.7808461354","156.981884927","39.7235366503","36.5844789424","30.54760454","19.5271605406","14.4009165025","10.5070401939","7.2","2.2662830378","2.0055","1.5483946597","1.2964233336","","0.9640819266","0.772719","0.4255999992","0.21081","","0.166666668","0.1431373344","0.12","0.0098","","","0.0096527","0.01","0.0031920604","0.0002789422","0","0.0000174024","0.0000018657","0.0000018701","0.0000005759","0.0000000538","0","0","","764.2060298619"
"2025-04-04","412.4655503025","164.737912443","38.5848749078","36.4923130939","36.69965305","18.424792658","14.4032938466","8.8354038922","7.2","2.2724371869","2.005","1.5234024998","1.2958033336","","0.8666119986","0.743967","0.4255999992","3.362544","","0.166666668","0.1424803344","0.11","0.0168","","0.206499","0.0096711","0.01","0.0006840468","0.0002656168","0","0.0000174024","0.0000019088","0.0000018577","0.0000005759","0.0000000269","0","0","","751.0022487498"
"2025-04-05","313.8706400095","153.8373446746","38.1817106104","36.2342150981","25.86199683","17.6057311506","14.4013413571","8.3221146643","7.2","2.2753098456","2.0025","1.2239780797","1.2956783336","","0.7726728071","0.61773","0.4255999992","","","0.166666668","0.1422013344","0.11","0.0112","","","0.0096066","0.01","0.0000000468","0.0002209183","0","0.0000174024","0.0000019089","0.0000018528","0.0000005759","0.0000000269","0","0","","624.5784807942"
"2025-04-06","314.2787336747","152.9871245778","37.6673595958","35.9956042748","25.21996416","16.7376085821","14.4017737973","7.950284255","7.2","2.27495077","2.00225","1.0056840689","1.2962783336","","0.6528457571","0.489821","0.4255999992","","","0.166666668","0.1419913344","0.12","0.0196","","","0.0096486","0.01","0.0001140604","0.000216034","0","0.0000174024","0.0000019325","0.0000018453","0.0000005759","0.0000000538","0","0","","621.054141353"
"2025-04-07","435.8335433081","216.5365886368","41.0830940047","36.2086363198","28.34407418","17.4851527615","14.4014525401","8.5451598328","7.2","2.2836057271","2.00625","1.44616308","1.2956883336","","0.8316476138","0.718675","0.4255999992","1.691661","","0.166666668","0.1425823344","0.14","0.1764","","","0.0096574","0.01","0.001482077","0.000217682","0.000009","0.0000174024","0.0000019068","0.0000018566","0.0000005759","0.0000000269","0","0","","816.9840292675"
"2025-04-08","438.8769592022","195.4373484215","41.5018569854","36.3485742953","31.664853","16.196118091","14.4009204978","8.3521059354","7.2","2.301114414","2","1.3671889293","1.2424344447","","0.8250606426","0.734091","0.4255999992","0.184266","","0.166666668","0.1424173344","0.24","0.1764","","","0.0097286","0.01","0.000228077","0.0002745233","0.000009","0.0000174024","0.0000019402","0.0000018455","0.0000005759","0.0000000538","0","0","","799.8042378789"
"2025-04-09","454.706159866","162.0409766672","41.0081539797","36.4677616961","30.51991428","16.2219794211","14.4005525825","8.4678136417","7.2","2.306344576","2.00075","1.2882188322","1.2412394447","","0.7909924315","0.654235","0.4255999992","0.471225","0.176181","0.166666668","0.1427173344","0.12","0.1008","","","0.0096498","0.01","0.0017100332","0.0002299558","0.000009","0.0000174024","0.0000019367","0.0000018653","0.0000005759","","0","0","","780.9399029896"
"2025-04-10","443.8046075301","172.3838361402","41.1385601236","36.5068435718","26.76602147","16.0557129991","14.4015317803","8.3840954465","7.2","2.3156905295","2.0035","1.2802865594","1.2956783336","","0.8023580558","0.697941","0.4255999992","","1.231017","0.166666668","0.1428973344","0.05","0.1386","","","0.0097859","0.01","0.0013680468","0.0002834308","0.000009","0.0000174024","0.0000019173","0.0000018454","0.0000005759","0.0000000269","0","0","","777.212912687"
"2025-04-11","427.9891042221","169.1513218409","41.3177022405","36.4004866501","25.25288728","15.9811952942","14.4005063375","8.5251570855","7.2","2.3258772926","2.00175","1.2129051293","1.2962533336","","0.7755464364","0.658948","0.4255999992","","2.424372","0.166666668","0.1430863344","0.18","0.2016","","","0.0096561","0.01","0.0010260907","0.000249926","0.000009","0.0000174024","0.0000019512","0.0000018657","0.0000005759","0.0000000807","0","0","","758.0519291369"
"2025-04-12","309.8702475929","158.611648983","41.78110533","36.3496229851","22.49226415","16.409461049","14.4015342151","8.9184169158","7.2","2.328276","2.003","1.0979415789","1.2962583336","","0.74598648","0.571606","0.4255999992","","","0.166666668","0.1420783344","0.09","0.1764","","","0.0096411","0.01","0.0006840604","0.0002141645","0.000009","0.0000174024","0.0000020227","0.0000018455","0.0000005759","0.0000000538","0","0","","625.0986848402"
"2025-04-13","284.2799037062","149.7575298568","40.1629004596","36.2207198306","19.19994009","15.2059703614","14.4004834635","8.114900212","7.2","2.328276","2.00325","0.9260771443","1.2956733336","","0.6429996353","0.516442","0.4255999992","","","0.166666668","0.1422283344","0.08","0.2142","","","0.0096671","0.01","0.0000000906","0.0002260409","0.000319","0.0000174024","0.0000019094","0.0000018594","0.0000005759","0.0000000807","0","0","","583.3039951542"
"2025-04-14","381.1753858108","156.9506780502","40.8578025196","36.1948930313","25.05366378","15.413927991","14.4017449866","7.9386528493","7.2","2.328276","2.00275","1.1411831368","1.2962583336","","0.7058889444","0.597043","0.4255999992","","","0.166666668","0.1424563344","0.09","0.2016","","","0.0096827","0.01","0.000228074","0.0002319159","0.000264","0.0000174024","0.0000017583","0.000001847","0.0000005759","0.0000000807","0","0","","694.3048997894"
"2025-04-15","368.7729261556","178.2794598691","41.7653683109","36.2030319005","34.53038094","15.9017209077","14.4008150057","8.4461585409","7.2","2.3350080806","2.00325","1.2444221576","1.2428044447","","0.7776579077","0.675377","0.4255999992","","0.371004","0.166666668","0.1434943344","0.08","0.126","","","0.0096835","0.01","0.0007980438","0.0002765495","0.000262","0.0000174024","0.0000018443","0.0000018494","0.0000005759","0.0000000538","0","0","0","715.1121880417"
"2025-04-16","383.5266272654","176.3331725509","42.049843869","36.1319178585","36.40563834","15.9635006259","14.4014809912","8.2793652668","7.2","2.3459810153","1.9975","1.3020834064","1.2422894447","","0.7914789081","0.689699","0.4255999992","","","0.166666668","0.1427563344","0.08","0.126","","","0.0096471","0.01","0.0007980468","0.0002182592","0.000279","0.0000174024","0.0000017791","0.0000018526","0.0000005759","0.0000000269","0","0","","729.6225655867"
"2025-04-17","357.3088002526","163.3781546018","42.4211428339","36.1385614269","36.20699116","16.0189087927","14.4027714833","8.2986126348","7.2","2.3522809997","1.998","1.3186199564","1.2982383336","","0.7770167647","0.698118","0.4255999992","","","0.166666668","0.1426753344","0.09","0.2016","","","0.0097132","0.01","0.000570077","0.0003031978","0.000279","0.0000174024","0.0000021517","0.0000018666","0.0000005759","0.0000000538","0","0","","690.8636467672"