"Service","Relational Database Service($)","EC2-Other($)","EC2-Instances($)","API Gateway($)","S3($)","CloudWatch($)","Elastic Load Balancing($)","VPC($)","ElastiCache($)","Cost Explorer($)","Key Management Service($)","DynamoDB($)","Secrets Manager($)","Lambda($)","Route 53($)","Service Catalog($)","SNS($)","CloudWatch Events($)","Glue($)","SQS($)","Step Functions($)","Simple Workflow Service($)","CloudTrail($)","CloudFormation($)","Total costs($)"
"Service total","67955.6906700116","15023.1651079764","8383.6686856747","3078.6989287177","2646.0210972846","947.2605521812","468.8148733165","459.8351890436","181.1803287592","1.37","1.2072533424","1.0869201997","0.6956100135","0.5194840861","0.4013504","0.1456","0.0116262644","0.006653","0.0008953304","0.0000364","0.0000202512","0.0000138243","0","0","99149.7808960775"
"2025-04-01","3843.5465789776","956.3617466326","533.6747827562","258.1406400766","155.7225858808","58.8239974975","29.1118395064","29.081114741","10.919770528","0.06","0.0708606672","0.0639364822","0.0411800008","0.0213314101","0.3095136","0","0.0013996429","0.00042","0","0.0000016","0.0000002472","0.0000004767","0","","5875.9517007238"
"2025-04-02","3894.6499757712","900.0851881307","518.6524971788","275.4577984105","155.2689088536","65.4529555381","30.7421431273","28.3517479994","10.380770528","0.08","0.0706656672","0.0639364822","0.0397333341","0.0321729453","0.009842","0.0091","0.0005730282","0.000384","0","0.0000016","0.0000012474","0.0000009534","0","","5879.3483967954"
"2025-04-03","3898.8183267337","929.2845622351","509.1418923373","216.7268311708","154.8469098912","61.4458419842","29.652114488","27.8177668473","10.233770528","0.07","0.0710526672","0.0639364822","0.0411450008","0.0301914664","0.0048136","0.0105","0.0006378361","0.000384","0","0.0000028","0.0000015003","0.0000009534","0","","5838.260682522"
"2025-04-04","3808.2845109069","866.5524741314","508.8270108105","199.4776722191","154.9283304601","56.9451474678","27.5242211958","27.1357279973","11.017770528","0.08","0.0709506672","0.0639364823","0.0411600008","0.0320308899","0.0046046","0.0077","0.0007387536","0.000388","0","0.000002","0.0000010002","0.0000004767","0","","5660.9943785876"
"2025-04-05","3846.1538477148","891.7248534915","478.1194436549","167.1085550217","155.452405965","56.2518368561","27.5773974128","26.9268147616","10.9199926888","0.07","0.0707676672","0.0639364823","0.0411350008","0.0319772072","0.0046274","0.0049","0.0005525317","0.000392","0","0.0000016","0.0000010002","0.0000004767","0","","5660.5234389333"
"2025-04-06","3811.072291179","859.9446883239","478.7482810142","158.5127567638","154.7276508005","53.5414566118","26.2977111783","26.4327495646","10.7732462512","0.07","0.0709446672","0.0639364823","0.0411600008","0.0320636388","0.0045194","0.0098","0.0005791257","0.000396","0","0.0000024","0.0000015003","0.0000009534","0","","5580.3442358558"
"2025-04-07","3883.5263015422","889.158095724","513.0701162491","161.5876588697","154.9863377053","54.5670503582","26.8230606306","26.6221609547","10.9199809216","0.09","0.0709536672","0.0639364823","0.0411800008","0.0320686587","0.0060576","0.0098","0.000624355","0.000403","0.0000026664","0.0000024","0.0000010002","0.0000009534","0","","5721.5757937394"
"2025-04-08","3921.2323706189","866.422701352","500.8544913256","161.3309542542","155.3600752236","53.0986571959","26.7527450893","26.5279879708","10.6259809216","0.22","0.0707586672","0.0639364823","0.0396483341","0.0320837834","0.0149286","0.0098","0.0006633","0.000393","0.0000026664","0.000002","0.0000012474","0.0000009534","0","","5722.6581829861"
"2025-04-09","3993.8749375718","887.4677204589","495.062175617","166.7459835303","155.6248129424","54.6904650093","27.3573854544","26.8221865209","10.8709621704","0.11","0.0708606672","0.0639364824","0.0411700008","0.0319479287","0.0046508","0.0056","0.0005337029","0.000384","0.0000026664","0.000002","0.0000012531","","0","","5818.8457187769"
"2025-04-10","4006.3111396825","867.8427041183","490.5894308266","161.5691171165","155.6014539278","53.1583035397","26.685279842","26.4764253885","10.6749621704","0.05","0.0712296672","0.0639364824","0.0413250008","0.0285761376","0.00469","0.0077","0.0006542792","0.000375","0.0000026664","0.000002","0.0000010002","0.0000004767","0","","5799.1773093228"
"2025-04-11","4048.9257758263","884.1890336268","488.9793198786","163.2049193641","156.0824776277","53.6669517384","27.0951685593","26.6666796068","10.9689338024","0.1","0.0711516672","0.0639364824","0.0410800008","0.0280112751","0.0054508","0.0112","0.000495486","0.000376","0.0000026664","0.0000024","0.0000015003","0.0000014301","0","","5860.1009697387"
"2025-04-12","4043.8642125597","866.4549473688","477.2590206259","173.5953595526","155.7502060971","57.0520883104","28.1692448031","27.2360856782","10.6751436896","0.06","0.0710376672","0.0639364824","0.0412400008","0.0320666673","0.0045338","0.0105","0.0008314452","0.000404","0.0000026664","0.0000024","0.0000015003","0.0000009534","0","","5840.3408662684"
"2025-04-13","4127.1778466062","883.4743490044","471.8837430806","166.0631996888","155.8851610883","54.603008471","27.6091186002","26.8505112559","10.6261436896","0.07","0.0714186672","0.0639364824","0.0411350008","0.0320130781","0.0045082","0.0119","0.0005957183","0.000392","0.0002026664","0.0000024","0.0000010002","0.0000014301","0","","5924.4691881285"
"2025-04-14","4097.7025370857","858.168393396","479.0711792394","157.5259325394","155.9639708832","52.0842919363","26.2326698015","26.39684485","10.185008344","0.06","0.0709446672","0.0639364824","0.0411000008","0.0296634915","0.0044354","0.0112","0.0005536305","0.00038","0.0001826664","0.0000024","0.0000015003","0.0000009534","0","","5863.613229268"
"2025-04-15","4186.8880208056","877.1604869759","482.3670848699","161.95940963","156.8183648159","53.4827274131","26.9431176014","26.6899385432","9.8909639992","0.05","0.0716046672","0.0639364824","0.0413650008","0.0315034316","0.004874","0.0084","0.0007594126","0.000396","0.0001296664","0.000002","0.0000012531","0.0000009534","0","0","5982.4730875217"
"2025-04-16","4271.9823362256","861.6731359905","478.6479632605","165.8205615654","156.4275959471","54.4980518927","27.3290204844","26.9493605233","10.6749639992","0.06","0.0710976672","0.0639364824","0.0397583341","0.0300853331","0.0046314","0.0077","0.0006909011","0.000396","0.0001636664","0.0000016","0.0000012531","0.0000004767","0","","6054.2814530028"
"2025-04-17","4271.6796602039","877.2000270156","478.7202529496","163.8715789442","156.573849175","53.8977203607","26.9126355417","26.8510858401","10.8219639992","0.07","0.0709536672","0.0639364824","0.0410950008","0.0316967433","0.0046692","0.0098","0.0007431154","0.00039","0.0002006664","0.0000028","0.0000012474","0.0000009534","0","","6066.8222639063"