"Service","EC2-Instances($)","EC2-Other($)","S3($)","Elastic MapReduce($)","Elastic Load Balancing($)","Relational Database Service($)","VPC($)","EC2 Container Registry (ECR)($)","Elastic Container Service for Kubernetes($)","DynamoDB($)","CloudWatch($)","Key Management Service($)","QuickSight($)","Glue($)","Lambda($)","Secrets Manager($)","Elastic File System($)","Route 53($)","ElastiCache($)","Cost Explorer($)","CloudFront($)","Systems Manager($)","Athena($)","Redshift($)","Service Catalog($)","SQS($)","CloudWatch Events($)","SNS($)","CodeArtifact($)","Direct Connect($)","SES($)","Simple Workflow Service($)","Step Functions($)","Location Service($)","Glacier($)","API Gateway($)","CloudShell($)","CloudTrail($)","CloudFormation($)","Total costs($)"
"Service total","469988.3746526585","302003.638979619","237313.9042086329","177230.9160040512","108401.3314849821","18417.1764818864","12209.8427264966","5687.3722447506","4976.766876497","2629.6761148014","1989.7175360477","1255.8034277499","1151.9999898624","496.2869027113","468.185142695","260.0136479445","181.8005177088","144.852204","126.265540176","53.77","27.8234694","23.19164","16.719485","9.9315744","2.8252","2.1364726838","0.84296","0.5330392277","0.1821797462","0.0825080508","0.0606243808","0.0005241079","0.000493633","0.00033","0.00013791","0.0000955904","0.000003115","0","0","1345072.025420517"
"2024-04-01","47024.5091002284","27154.4205734457","19990.8900295893","13791.3974191552","15137.1842995529","2025.4199683765","1059.2431818784","478.5960559315","917.70212236","214.9364911616","199.6349413499","125.7902712146","96.000000768","42.7118114739","128.254380139","21.7435416668","15.150043152","12.152696","10.522128384","3.43","27.8234694","0","16.71241","0.82764","0.1869","0.1941345488","0.080458","0.0491392416","0.014301768","0.0189475116","0.0021010928","0.0000180873","0.0000103598","","0.0000728962","0.0000025803","0.0000012971","0","","128495.5986626112"
"2024-05-01","50141.0088648631","30852.8531729772","20065.5525439882","13807.9041889544","17567.8098243615","2088.5017199591","1061.2830469063","477.7017879039","752.044892915","219.3446381916","197.5784834394","102.086204728","95.999998464","40.8128341683","128.0823391518","21.7081965652","15.1500431328","9.6685638","10.5221283264","7.78","","0","0.007075","0.8276256","0.0392","0.1978311101","0.041017","0.0505410787","0.0149050608","0.0261030868","0.0060026494","0.0000280723","0.0000154866","","0.0000650138","","","0","","137664.6038819547"
"2024-06-01","48745.4231110345","30232.7610723927","19452.1232812797","13986.8445488904","17154.2546424626","2067.8978280295","1033.8532784688","479.7125551476","576","215.5983747016","222.4781373479","99.475076784","96.000000768","40.5333057788","19.8987110141","21.6727755556","15.150043152","9.1070504","10.522128384","2.7","","0","","0.82764","0.0882","0.2001550249","0.0639","0.0381460521","0.0146970489","0.0284465664","0.0021007402","0.0000467327","0.0000243063","","","","","0","","134483.2692780633"
"2024-07-01","40285.6917784798","27979.5976633424","19860.3447864864","13889.5040291536","12622.137999411","2348.5491113028","1053.0352560211","478.1817117507","595.2","219.8357711078","186.7587802571","99.497586432","95.999998464","40.7122974495","20.5300466901","21.7251438232","15.1500431328","11.5580774","10.5221283264","2.77","","0","","0.8276256","0.4018","0.22975","0.071045","0.0722332489","0.0149050608","0.009010886","0.0036011778","0.0000528518","0.0000407137","","","","","0","","119838.9322735697"
"2024-08-01","34499.7492819248","25961.5903762658","19124.0106244237","14937.4171757328","7594.0157616094","1935.9311547748","1026.2898398336","471.411319713","254.020639002","225.5996177452","147.8623935715","99.522990432","95.999998464","40.8336907519","20.7153144669","21.7224280704","15.1500431328","16.1491122","10.5221283264","5.95","","0","","0.8276256","0.4683","0.2105396","0.068259","0.0619034793","0.0149050608","","0.0036015218","0.0000514836","0.0000563524","","","","","0","","106506.1191325389"
"2024-09-01","32066.4498720189","22860.4879493297","19065.5594621795","14251.9894246424","5614.5151869264","1626.0569990123","987.0084226085","471.6577672014","144","219.966966172","145.9134439134","99.527339784","96.000000768","40.6607204676","19.9852419703","21.6005394444","15.150043152","11.5180292","10.522128384","2.73","","0","","0.82764","0.2639","0.1381924","0.036007","0.0320212989","0.015401904","","0.0063023143","0.0000467166","0.0000501807","","","","","0","","97772.6190989893"
"2024-10-01","33508.0506110083","22513.5790399462","18882.2058406927","14891.6322222224","5589.0800160108","1300.4551134296","1021.2315741218","471.7179920608","148.8","221.842544853","146.0132065632","99.524388432","95.999998464","41.3620776686","22.0410464819","21.6371915652","15.1500431328","10.0789108","10.5221283264","3.14","","0","","0.8276256","0.7287","0.1789296","0.054333","0.0650986562","0.0149050608","","0.0129038655","0.000052301","0.0000557006","","","","","0","0","99015.9465495638"
"2024-11-01","33405.4605931644","22494.9766407066","19086.4284517432","14808.5602368936","5141.6716529179","998.8557710658","986.4652675398","471.6351018691","264","213.7122286052","146.3042447854","100.1330809009","96.000000768","41.073849188","21.3010956196","21.6391961112","15.150043152","9.6682334","10.522128384","2.83","","4.97323","","0.82764","0.1085","0.1455152","0.063723","0.0444375248","0.015401904","","0.0048018073","0.0000495768","0.0000517598","","","0.0000023848","","0","0","98342.5711699722"
"2024-12-01","38867.2272100635","22983.0195037003","19549.8793341898","17432.0219125572","5422.9961372057","1027.7549089917","1018.9229593043","471.7146125143","632.40033111","223.7134763389","146.5073647177","107.668451304","95.999998464","42.163774651","22.2362148592","21.6551880704","15.1500431328","12.1975358","10.5221283264","4","","4.418","","0.8276256","0.126","0.1599904","0.085965","0.039262661","0.0154941437","","0.009903848","0.0000510069","0.0000535065","","","","","0","0","108113.4334314673"
"2025-01-01","37358.9734988469","22650.020920376","20633.231063127","16039.5397946784","5542.950368935","1028.2620077149","1018.8416386511","471.6608580673","409.39889111","224.3358699573","151.1348018309","107.658275304","95.999998464","41.8235834906","22.3969732142","21.670017694","15.1500431328","14.502474","10.5221283264","11.09","","4.77149","","0.8276256","0.1204","0.1684276","0.090914","0.0348559473","0.015969708","","0.0093053637","0.0000491001","0.0000510131","0.00008","","","0.0000018179","0","0","105875.2023770709"
"2025-02-01","35500.7292717952","22669.4059602941","20651.4265259114","14770.9235688252","4999.4379033915","941.6853049482","921.9042173653","471.6730991706","134.4","204.881717393","150.5202941311","107.5339083024","95.9999975424","40.5611121408","20.2929087265","21.6510071141","15.1500431712","10.6371282","10.5221283552","3.42","","3.79516","","0.8276352","0.1099","0.1596572","0.088675","0.0282933014","0.0153233184","","","0.0000424263","0.0000462589","0.0001","","0.0000906253","","0","0","101747.7810201085"
"2025-03-01","38585.1014592307","23650.9261068423","20952.252265022","14623.1814823456","6015.2776921974","1027.8065942812","1021.7640437976","471.7093834204","148.8","225.9084185742","149.0114441402","107.385854132","95.999998464","43.0378454823","22.4508703614","21.588422264","15.1500431328","17.6143928","10.5221283264","3.93","","5.23376","","0.8276256","0.1834","0.15335","0.098664","0.0171067375","0.015969708","","","0.0000357525","0.0000379946","0.00015","","","","0","","107215.9485446071"